# AGAGE data for CFC-11
# Created by lw13938 on 2024-05-29 14:28:08.516723
# Contact AGAGE data owners before use 
# This file contains data from the following sites/instruments: 
#===================================================
# MHD 
#   1. ALE
#------------------
# THD 
#   1. ALE
#------------------
# RPB 
#   1. ALE
#------------------
# SMO 
#   1. ALE
#------------------
# CGO 
#   1. ALE
#------------------
# SCALE: SIO-05
# UNITS: ppt
date,mf,mf,mf,mf,mf_variability,mf_variability,mf_variability,mf_variability,sites,sites,sites,sites,instruments,instruments,instruments,instruments
box,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3
1990-01-01,261.83,257.83,,245.45,1.624930973667497,1.3258127133136113,,1.1868567724877337,MHD,RPB,,CGO,ALE|,ALE,,ALE
1990-02-01,262.34,257.47,,246.22,1.4615693707573376,1.4210223257584662,,1.0748014599469058,MHD,RPB,,CGO,ALE|,ALE,,ALE
1990-03-01,262.96,,,247.02,1.5098075313416608,,,1.159443113664487,MHD,,,CGO,ALE|,,,ALE
1990-04-01,263.86,261.41,,248.27,1.2626688302860731,1.4707270588168289,,1.292553001553128,MHD,RPB,,CGO,ALE|,ALE,,ALE
1990-05-01,264.75,261.3,,248.48,1.4148982154204592,1.6343778285329253,,1.4265203519838054,MHD,RPB,,CGO,ALE|,ALE,,ALE
1990-06-01,264.37,260.96,,250.32,1.1785254482038139,1.1485801283741592,,1.198878585238722,MHD,RPB,,CGO,ALE|,ALE,,ALE
1990-07-01,263.02,261.67,,250.94,1.1404821665523754,1.8967831303509635,,1.4372214380588677,MHD,RPB,,CGO,ALE|,ALE,,ALE
1990-08-01,263.82,262.55,,250.92,1.1409551001437348,2.485752844994852,,1.1522064774961127,MHD,RPB,,CGO,ALE|,ALE,,ALE
1990-09-01,264.98,263.24,,251.98,1.510711377141246,2.6733866091263345,,0.8164829675039156,MHD,RPB,,CGO,ALE|,ALE,,ALE
1990-10-01,265.28,261.09,,252.64,2.4569403950246738,2.50507685501583,,0.6429595960680577,MHD,RPB,,CGO,ALE|,ALE,,ALE
1990-11-01,266.95,262.28,,252.98,1.966934542479744,2.180757768277807,,0.8434673282492926,MHD,RPB,,CGO,ALE|,ALE,,ALE
1990-12-01,266.17,263.29,257.55,253.36,2.231023747158241,2.024317998165308,3.6334432603798836,0.7916626184025617,MHD,RPB,SMO,CGO,ALE|,ALE,ALE,ALE
1991-01-01,266.15,262.89,256.05,252.96,2.2506531731033106,1.4714022391501242,1.6419310894187977,0.887643638909219,MHD,RPB,SMO,CGO,ALE|,ALE,ALE,ALE
